,brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,street,tag_list,updated_at,website_url
26,micro,Haines,United States,68,59.2357624,-135.4551927,Haines Brewing Co,9077663823,99827,Alaska,327 Main St,[],2018-08-23T23:20:50.755Z,http://www.hainesbrewing.com
27,micro,Fairbanks,United States,70,64.8485550111944,-147.759819939718,HooDoo Brewing Co,9074592337,99701-2701,Alaska,1951 Fox Ave,[],2018-08-23T23:20:52.424Z,http://www.hoodoobrew.com
28,contract,Anchorage,United States,71,61.2165020023101,-149.893892836775,Humpy's Great Alaskan Alehouse,9072762337,99501-2225,Alaska,610 W 6th Ave,[],2018-08-23T23:20:53.300Z,http://www.humpysalaska.com
29,micro,Hoonah,United States,72,58.110318744898,-135.446488673469,Icy Strait Brewery,9079576260,99829,Alaska,286 Front St,[],2018-08-23T23:20:54.191Z,
31,brewpub,Soldotna,United States,75,60.4850753,-151.0561141,Kenai River Brewing Co,9072622337,99669-8010,Alaska,308 Homestead Ln,[],2018-08-23T23:20:56.247Z,http://www.kenairiverbrewing.com
32,brewpub,Skagway,United States,77,59.4538574343434,-135.318872070707,Klondike Brewing Company,9079832778,99840,Alaska,365 2nd Ave,[],2018-08-23T23:20:58.035Z,http://www.klondikebeer.com
33,micro,Kodiak,United States,78,57.7900825595856,-152.40715497121,"Kodiak Island Brewing Co, LLC",9074862537,99615-6580,Alaska,117 Lower Mill Bay Rd,[],2018-08-23T23:20:58.860Z,http://www.kodiakbrewery.com
34,brewpub,Wasilla,United States,79,61.5814829990806,-149.439553425176,Last Frontier Brewing Company,9073577200,99654-7127,Alaska,238 N Boundary St,[],2018-08-23T23:20:59.705Z,
35,micro,Anchorage,United States,80,61.1471249,-149.8445465,Midnight Sun Brewing Co,9073441179,99507-3144,Alaska,8111 Dimond Hook Dr,[],2018-08-23T23:21:00.537Z,http://www.midnightsunbrewing.com
37,brewpub,Anchorage,United States,84,61.2199788932932,-149.823091047009,Resolution Brewing Company,9073304523,99501-3141,Alaska,3024 Mountain View Dr Ste 105,[],2018-08-23T23:21:03.575Z,http://www.resolutionbeer.com
38,micro,Anchorage,United States,85,61.2199788932932,-149.823091047009,"Resolution Brewing Compnay, LLC",9077485297,99501,Alaska,3024 Mountain View Drive,[],2018-08-23T23:21:04.418Z,http://www.resolutionbeer.com
39,micro,Fox,United States,88,64.9570858831622,-147.62197608655,Silver Gulch Brewing Co,9074522739,99712,Alaska,2195 Old Steese Highway,[],2018-08-23T23:21:07.021Z,http://www.silvergulch.com
40,micro,Soldotna,United States,90,60.4914867311424,-151.047229286693,St Elias Brewing Co,9072607837,99669-7665,Alaska,434 Sharkathmi Ave,[],2018-08-23T23:21:08.664Z,
43,micro,Palmer,United States,56,,,Bleeding Heart Brewery,7609172417,99645-6972,Alaska,1150 S Colony Way Ste 3 Pmb 618,[],2018-08-11T21:35:44.971Z,http://Facebook.com/BleedingHeartBrewery
44,micro,Wasilla,United States,83,,,"QUAKE! Brewing Company, LLC",4048340997,99654,Alaska,1540 N Shoreline Dr,[],2018-08-11T21:35:45.990Z,http://www.quakebrewingcompany.com
0,micro,Tucson,United States,94,32.2467372722906,-110.992750525872,1912 Brewing,5202564851,85745-1444,Arizona,2045 N Forbes Blvd Ste 105,[],2018-08-23T23:21:11.302Z,http://www.1912brewing.com
1,contract,Scottsdale,United States,98,33.4972615652174,-111.924474347826,Bad Water Brewing,5207459175,85251-3914,Arizona,4216 N Brown Ave,[],2018-08-23T23:21:15.169Z,http://www.badwaterbrewing.com
2,brewpub,Chandler,United States,104,33.3053455,-111.911126,BJs Restaurant & Brewery - Chandler,4809170631,85226-5175,Arizona,3155 W Chandler Blvd,[],2018-08-23T23:21:21.165Z,http://www.bjsrestaurants.com
3,micro,Tucson,United States,107,32.201608314954,-110.821778571134,BlackRock Brewers,5202073203,85710-6767,Arizona,1664 S Research Loop Ste 200,[],2018-08-23T23:21:23.794Z,http://www.brb.beer
4,micro,Tucson,United States,127,32.2504946147872,-111.005452051979,Dragoon Brewing Co,5203293606,85745-1214,Arizona,1859 W Grant Rd Ste 111,[],2018-08-23T23:21:40.563Z,http://www.dragoonbrewing.com
5,micro,Williams,United States,141,35.2500282,-112.1892168,Grand Canyon Brewing Company,8005132072,86046-2530,Arizona,233 W Route 66,[],2018-08-23T23:21:53.397Z,http://www.grandcanyonbrewingco.com
6,micro,Lake Havasu City,United States,163,34.4689736300844,-114.342433477881,Mudshark Brewing Co,9284532981,86403-0966,Arizona,210 Swanson Ave,[],2018-08-23T23:22:12.542Z,http://www.mudsharkbrewingco.com
7,micro,Peoria,United States,182,33.6687744976834,-112.238054093359,Richter Aleworks,6029086553,85382-7434,Arizona,8279 W Lake Pleasant Pkwy Ste 110,[],2018-08-23T23:22:29.385Z,http://www.richteraleworks.com
8,regional,Chandler,United States,187,33.3032436,-111.8423459,SanTan Brewing Co,4809178700,85225-7862,Arizona,8 S San Marcos Pl,[],2018-08-23T23:22:33.482Z,http://www.santanbrewing.com
9,brewpub,Surprise,United States,198,33.63822125,-112.357813820157,State 48 Brewery,6235841095,85374-3873,Arizona,13823 W Bell Rd,[],2018-08-23T23:22:41.468Z,
10,micro,Phoenix,United States,219,33.516633,-112.0301125,Wren House Brewing Company,6022449184,85008-2713,Arizona,2125 N 24th St,[],2018-08-23T23:22:59.255Z,http://www.wrenhousebrewing.com
11,brewpub,Prescott Valley,United States,155,,,Lonesome Valley Brewing,9285153541,86314-2250,Arizona,3040 N Windsong Dr Ste 101,[],2018-08-11T21:35:48.469Z,http://www.lonesomevalleybrewing.com
12,micro,Gilbert,United States,92,,,12 West Brewing Company,6023395014,85296-7832,Arizona,3000 E Ray Rd Bldg 6,[],2018-08-11T21:35:46.300Z,http://www.12westbrewing.com
13,micro,Mesa,United States,93,33.436188,-111.586066176293,12 West Brewing Company - Production Facility,,85207,Arizona,,[],2018-08-23T23:21:09.992Z,
14,micro,Avondale,United States,95,,,8-Bit Aleworks,6239251650,85323-5206,Arizona,1050 N Fairway Dr Bldg F Ste 10,[],2018-08-11T21:35:46.401Z,http://www.8-bitaleworks.com
15,micro,Elgin,United States,96,,,Arizona Craft Brewing,520369342,85611,Arizona,"473 Elgin Road, Suite BH",[],2018-08-11T21:35:46.428Z,
16,brewpub,Gilbert,United States,97,,,Arizona Wilderness Brewing,4804972739,85233-3405,Arizona,721 N Arizona Ave,[],2018-08-11T21:35:46.458Z,http://Azwbeer.com
17,micro,Skull Valley,United States,100,,,Barnstar Brewing,9284422337,86338,Arizona,4050 North Tonto Road (Forest Service Rd.102),[],2018-08-11T21:35:46.552Z,http://www.barnstarbrew.com
18,brewpub,Flagstaff,United States,102,,,Beaver Street Brewery,9287790079,86001-5500,Arizona,11 S Beaver St Ste 1,[],2018-08-11T21:35:46.628Z,http://www.beaverstreetbrewery.com
19,brewpub,Mesa,United States,103,,,"Beer Research Institute, The",4808922020,85204,Arizona,1641 S Stateley Dr Ste 104,[],2018-08-11T21:35:46.659Z,http://www.bri.beer
20,micro,Show Low,United States,106,,,Black Horse Brewery,9285379349,85901-3924,Arizona,1058 Burton Rd,[],2018-08-11T21:35:46.753Z,http://www.blackhorsebrewery.us
21,brewpub,Tempe,United States,108,,,Blasted Barley Beer Company,4809675887,85281-2879,Arizona,404 S Mill Ave Ste 101,[],2018-08-11T21:35:46.813Z,http://www.blastedbarley.com
22,micro,Tucson,United States,112,,,"Button Brew House, LLC",5202688543,85741-2395,Arizona,6800 N Camino Martin Ste 160,[],2018-08-11T21:35:46.951Z,http://www.button.beer
23,micro,Tucson,United States,113,,,Catalina Brewing Company,5203293622,85741-2281,Arizona,6918 N Camino Martin,[],2018-08-11T21:35:46.985Z,http://www.catalinabrewingco.com/
24,micro,Sonoita,United States,115,,,Copper Brothel Brewery,5204056721,85637,Arizona,3112 Hwy 83,[],2018-08-11T21:35:47.049Z,http://www.copperbrothelbrewery.com
25,micro,Tucson,United States,117,,,Copper Mine Brewing Co,5203336140,85713,Arizona,3455 S Palo Verde Rd STE 135,[],2018-08-11T21:35:47.093Z,http://www.copperminebrewing.com
26,micro,Flagstaff,United States,122,,,Dark Sky Brewing Co.,9282354525,86001-5677,Arizona,117 N Beaver St Ste A,[],2018-08-11T21:35:47.238Z,http://www.darkskybrewing.com
27,brewpub,Glendale,United States,128,,,Dubina Brewing Co.,6234127770,85308-3655,Arizona,17035 N 67th Ave Ste 6,[],2018-08-11T21:35:47.442Z,http://www.dubinabrewing.com
28,large,Tempe,United States,134,,,Four Peaks Brewing Co,4803039967,85281-4396,Arizona,1340 E 8th St Ste 104,[],2018-08-11T21:35:47.685Z,http://www.fourpeaks.com
29,micro,Peoria,United States,135,,,Freak'N Brewing Company,6237385804,85345-8385,Arizona,9299 W Olive Ave Ste 513,[],2018-08-11T21:35:47.718Z,http://www.freaknbrew.com
30,brewpub,Glendale,United States,137,,,Good Bad Ugly Brewing Co. @ Tavern+Bowl Westgate,9282088376,85305-3224,Arizona,6770 N Sunrise Blvd Ste G100,[],2018-08-11T21:35:47.786Z,http://www.tavernbowlwestgate.com
31,brewpub,Tempe,United States,139,,,Gordon Biersch Brewery Restaurant - Tempe,4807360033,85281-2870,Arizona,420 S Mill Ave Ste 201,[],2018-08-11T21:35:47.880Z,http://www.craftworksrestaurants.com
32,brewpub,Williams,United States,140,,,Grand Canyon Brewing,,86046,Arizona,301 N 7th St Ste 101,[],2018-08-11T21:35:47.924Z,
33,brewpub,Lake Havasu City,United States,99,34.4770677,-114.3206399,Barley Brothers Brewery,9285057837,86403-6597,Arizona,1425 McCulloch Blvd N,[],2018-08-23T23:21:16.167Z,http://www.barleybrothers.com
34,micro,Tucson,United States,101,32.214613,-110.959665,Barrio Brewing Co,5207912739,85719-6603,Arizona,800 E 16th St,[],2018-08-23T23:21:18.433Z,http://www.barriobrewing.co
35,micro,Kingman,United States,105,35.1895876968531,-114.051737005448,Black Bridge Brewery,9283773618,86401-5833,Arizona,421 E Beale St,[],2018-08-23T23:21:22.085Z,http://www.blackbridgebrewery.com
38,micro,Lake Havasu City,United States,114,34.5075404422947,-114.347596097639,College Street Brewhouse and Pub,9288542739,86403-1981,Arizona,1940 College Dr,[],2018-08-23T23:21:29.516Z,
39,brewpub,Prescott,United States,118,34.5385194418589,-112.470303973229,Coppertop Alehouse and Still Works,9283517712,86303-4720,Arizona,220 S Montezuma St,[],2018-08-23T23:21:32.310Z,http://www.coppertopalehouse.com
40,micro,Tucson,United States,119,32.2263408526684,-110.966790000908,Corbett Brewing Company,,85705,Arizona,309 E 7th St,[],2018-08-23T23:21:33.286Z,
41,contract,Scottsdale,United States,120,33.4931529975966,-111.931927098678,CRAFT 64,4809460542,85251-4312,Arizona,6922 E Main St,[],2018-08-23T23:21:34.232Z,http://www.craft64.com
42,micro,Tucson,United States,121,32.2276230220053,-110.967733199346,Crooked Tooth Brewing Co.,5204445305,85705-8424,Arizona,228 E 6th St,[],2018-08-23T23:21:35.280Z,http://www.crookedtoothbrewing.com
44,micro,Mesa,United States,124,33.4148261,-111.8568311,Desert Eagle Brewing Company,4806562662,85201-7310,Arizona,150 W Main St,[],2018-08-23T23:21:38.208Z,http://www.deserteaglebrewing.com
46,micro,Tucson,United States,126,32.2997436,-110.9785303,Dillinger Brewing Company,5202072312,85705-3228,Arizona,3895 N Oracle Rd,[],2018-08-23T23:21:39.622Z,http://www.dillingerbrewing.com
47,micro,Colorado City,United States,129,36.9941047,-112.9740725,Edge Of The World Brewery,9288758710,86021-1524,Arizona,70 N Central St,[],2018-08-23T23:21:42.484Z,http://edgeoftheworld.bar
48,brewpub,Flagstaff,United States,131,35.2109064,-111.523296,Flagstaff Brewing Co,9287731442,86001-5792,Arizona,16 E Route 66,[],2018-08-23T23:21:44.320Z,http://www.flagbrew.com
49,brewpub,Gilbert,United States,132,33.3209814810127,-111.805438886076,Flying Basset Brewing,4804261373,85233,Arizona,720 W Ray Rd,[],2018-08-23T23:21:44.805Z,http://www.flyingbassetbrewing.com
50,large,Tempe,United States,133,33.402871377966,-111.944654908083,Four Peaks Brewery & Taproom,4803039967,85282-2054,Arizona,2401 S Wilson St,[],2018-08-23T23:21:45.718Z,http://www.fourpeaks.com
51,micro,Scottsdale,United States,136,33.658427,-111.9254955,Goldwater Brewing Co,4803507305,85251-5612,Arizona,3608 N Scottsdale Rd,[],2018-08-23T23:21:48.585Z,http://www.goldwaterbrewing.com
52,brewpub,Glendale,United States,138,33.5050851,-112.2638679,Gordon Biersch Brewery Restaurant - Glendale,6238774300,85305-2488,Arizona,6915 N 95th Ave,[],2018-08-23T23:21:50.771Z,http://www.craftworksrestaurants.com
53,contract,Phoenix,United States,144,,,Greenwood Brewing LLC,4802089500,85004-4489,Arizona,600 N 4th St Apt 210,[],2018-08-11T21:35:48.095Z,http://www.greenwoodbrews.com
54,micro,Flagstaff,United States,147,,,Historic Brewing Company,8554844677,86004-9400,Arizona,4366 E Huntington Dr Bldg 2,[],2018-08-11T21:35:48.186Z,http://www.historicbrewingcompany.com
55,micro,Tempe,United States,149,,,Huss Brewing,4802647611,85283-4343,Arizona,1520 W Mineral Rd Ste 102,[],2018-08-11T21:35:48.239Z,
56,micro,Chino Valley,United States,150,,,Insurgent Brewing Co. LLC,9289254773,86323-5139,Arizona,990 N State Route 89 Ste B,[],2018-08-11T21:35:48.268Z,http://www.insurgentbrewingco.com
57,micro,Tucson,United States,151,,,Iron John's Brewing Company,5202373448,85719-6348,Arizona,245 S Plumer Ave Ste 27,[],2018-08-11T21:35:48.307Z,http://www.ironjohnsbrewing.com
58,brewpub,Scottsdale,United States,158,,,McFate's Tap + Barrel,4809941275,85260-6465,Arizona,7337 E Shea Blvd Ste 105,[],2018-08-11T21:35:48.588Z,http://www.fatebrewing.com
59,micro,Scottsdale,United States,159,,,Mesquite River Brewing,4806567696,85254-4037,Arizona,"13610 N Scottsdale Rd, Suite 18",[],2018-08-11T21:35:48.654Z,http://www.mesquiteriverbrewing.com
60,micro,Flagstaff,United States,161,,,Mother Road Brewery and Taproom,9287740492,86001,Arizona,1300 East Butler Ave Ste 200,[],2018-08-11T21:35:48.720Z,http://www.motherroadbeer.com/butler-brewery
61,brewpub,Phoenix,United States,165,,,O.H.S.O. Brewery,6029009003,85028-6057,Arizona,10810 N Tatum Blvd Ste 126,[],2018-08-11T21:35:48.834Z,http://www.ohsobrewery.com
62,brewpub,Sedona,United States,168,,,Oak Creek Brewery & Grill,9282823300,86336-6183,Arizona,336 State Route 179 Ste D201,[],2018-08-11T21:35:48.925Z,
63,brewpub,Sedona,United States,169,,,Oak Creek Brewing Co,9282039441,86336-4559,Arizona,2050 Yavapai Dr Ste 2C,[],2018-08-11T21:35:48.956Z,http://www.oakcreekbrew.com
64,brewpub,Peoria,United States,174,,,Peoria Artisan Brewery,6236959357,85382,Arizona,10144 W. Lake Pleasant Parkway Suite 1130,[],2018-08-11T21:35:49.128Z,http://www.peoriaartisanbrewing.com
65,brewpub,Peoria,United States,175,,,Peoria Artisan Brewery,6235364804,85382-9716,Arizona,10144 W Lake Pleasant Pkwy Ste 1130,[],2018-08-11T21:35:49.158Z,http://www.peoriaartisanbrewing.com
66,brewpub,Prescott,United States,177,,,Prescott Brewing Co,9287712795,86301-3603,Arizona,130 W Gurley St Ste A,[],2018-08-11T21:35:49.220Z,http://www.prescottbrewingcompany.com
67,brewpub,Glendale,United States,185,,,Rock Bottom Brewery - Arrowhead,6238788822,85308-8619,Arizona,7640 W Bell Rd,[],2018-08-11T21:35:49.477Z,http://www.rockbottom.com
68,micro,Prescott,United States,142,34.54238481217,-112.468601799769,Granite Mountain Brewing,9287785535,86302-1109,Arizona,123 N Cortez St,[],2018-08-23T23:21:54.265Z,http://www.granitemountainbrewing.com
69,micro,Tucson,United States,143,32.1843632,-110.9232648,Green Feet Brewing,5209771691,85713-6814,Arizona,3669 E 44th St,[],2018-08-23T23:21:55.134Z,http://www.greenfeetbrewing.com
