description,names,links
"“The first whiff is more bitter than expected, but that doesn’t carry through to the sip as an orange-lime sweetness pulls through with a hint of citric tartness.”",Pinkus Hefe Weizen,/review/pinkushefe-weizen
"“A funky nose of pineapple and citrus evokes fruit cocktail without the cloying sweetness. On the sip, it’s warming and more pineapple fruit cup. More dry than expected, with a quality of pineapple that delivers on the promise. Meaty and substantial, it’s a bigger sip than you might expect from such a low ABV beer.”",Creature Comforts Tritonia,/review/tritonia
"“Where’s the line between Gose and sour IPA? This beer flaunts the deficiencies in definition—it doesn’t capture the fruit juiciness of sour IPAs but delivers far more hops than a typical Gose as the acid and bitterness create a bit of a jumble.”

",Black Shirt Brewing Slant Rhyme,/review/slant-rhyme
"“Visually, more fruit smoothie than beer—thick, opaque, and merlot in color. The nose is all sweet berries, and the flavor leaves us looking for some sort of beer complexity.”",Mikerphone Brewing Bass Cannon,/review/bass-cannon
“Shoe leather and light citrus on the nose. A bright and bready body like an orange breakfast pastry.”,Andechser  Weissbier Hell,/review/weissbier-hell
"“Most Goses don’t focus on the salt, but this beer celebrates it. The acidity is tightly controlled and accents subtle lime notes that exude the confidence and sophistication of a finely made cocktail. It’s a bright and refreshing beer.”",Dogfish Head SeaQuench Ale,/review/seaquench-ale
"“A faint whiff of sharpie on the nose that fades into a vague cucumber-lime. The sip is effervescent, with tight carbonation on the tongue and orange and tangerine notes coming to the fore. It finishes faster than most, with a lingering orange-zest note and a dryness that’s inviting.”",Sketchbook Brewing Cumulus,/review/cumulus
"“An unfortunate whiff of oxidation on the nose—a mix of sweetness, old milk, and long overripe fruit. On the palate, it’s a bit more enjoyable, with bright carbonation and subtle lemon and lime notes.”",Ayinger Brauweisse,/review/brauweisse
Rich caramel and chocolate in the flavor. Almost like a Tootsie Roll. Moderate strong sweetness up front that slowly fades into a moderately dry finish. Slight moderate bitterness and a bit of alcohol warmth help balance as well. The toasty malt flavors dry out the finish.,Weihenstephan Korbinian,/review/korbinian
"Rich bread-crust melanoidin malt character comes through more in the flavor, which has moderate sweetness and low bitterness. Low levels of herbal and grassy hops also come through in the flavor. Molasses, peat smoke, chocolate-coated orange, bread crust, and stewed prunes. Clean lager fermentation characteristics give it a clean finish with a hint of roasted malt and smoke without being harsh and smoky or peaty. Light body overall.",Samuel Adams Black Lager,/review/black-lager
"Prominent smooth, creamy milk chocolate and coffee. Low supporting hops. Spicy woody alcohol flavor. Complex malt richness with toffee and coconut is accentuated by the barrel-aged qualities that add a tannic wood dryness, some toasted coconut, and a pleasant underlying boozy warmth. Finish is rich, but not overly cloying.",Jack's Abby Barrel-Aged Framinghammer,/review/barrel-aged-framinghammer
"The flavor is also delicate with more bready and lighter fruit character. Low sweetness into very low bitterness. Well-balanced with a slightly hops-forward, but still crisp, finish. Very refreshing.",Exhibit 'A' Goody Two Shoes,/review/goody-two-shoes
"Well-crafted malt complexity with depth of Continental base-malt character. The light sweetness of the malt works perfectly with the fruity esters and floral hops. Quite delicate, but with a zing from tangerine and lemongrass notes. Finishes smooth and dry.”",Chapman All Clear Kölsch,/review/all-clear-koelsch
"Light sweetness into light bitterness and very light acidity. Light body and a dry finish. Clean and simple malt profile with a hint of corn. Clean floral, perfumy, and slightly citrus hops. Slight mineral characteristic. Super well-balanced with a very crisp and dry finish that is not overtly bitter.",Prost Brewing Kölsch,/review/koelsch
Still malt-focused with bready malt up front. Moderate sweetness morphs into slight bitterness. A bit more floral hops and more lemon and orange fruity esters join the mix. Dry finish that ends quickly without any lingering bitterness. Refreshing.”,Firestone Walker 805,/review/805
"Bright, crisp malt sweetness up front, but well-balanced with fruity esters and floral-hops character. Neither lingers too long. The beer starts very bright and strong but almost immediately mellows and dissipates, encouraging more sips. Spicy pear esters, light citrus and herbal hops, and grainy malt lead to a smooth slightly dry finish.",Southern Tier 8 Days A Week,/review/8-days-a-week
"Medium toast, light caramel sweetness. Subtle minty hops flavor. Balance tips mostly to malt with toffee and raisin. The finish is caramel-focused and dry, with a bit of toasted walnut astringency.",Prost Dunkel,/review/dunkelprost
"Toffee-like, rich and chewy, with an almost buttery character. Comes across a bit thick, but not overly cloying on balance. Finish is relatively dry and has a noticeable alcoholic heat without being harsh or burning. Barrel character isn’t particularly distinctive, but it smooths out the complex flavors to give them a more refined character.",Jack's Abby Eis Maker,/review/eis-maker
"For as much as the barrel dominates the nose, it’s more balanced in the flavor. Still some cola notes with some dark melanoidin malt sweetness, but the roast is a bit more pronounced and works well with the vanilla and coconut character from the barrel. Alcohol and bourbon are especially strong in aftertaste.",Perrin Brewing Black Goat,/review/black-goat
"Simple but balanced. It starts off with moderately low sweetness and blossoms into a low hops bitterness but with a dry finish that’s crisp and refreshing. There’s a lot to like from citrus and melon hops, toasted malt, apple and pear esters, somewhat mineraly bitterness, and a mildly cloying sweet finish. Moderate carbonation gives it a bit of bite.”",New Belgium Brewing Dayblazer,/review/dayblazer
"More rich and toasty malts with hints of coffee, smoke, and bitter chocolate. Moderate sweetness morphs into a moderately low bitterness.",Fiction Beer Alternate Present,/review/alternate-present
Upfront roast with notes of coffee and charred malt with no astringency or unneeded lingering. Toasted bread crust. Very crushable. Peat smoke and bready malt lead to a smooth and balanced finish that is remarkably clean and refreshing.,Creature Comforts The Silent World,/review/the-silent-world
"Bright nutty character, almost peanut-like, up front. Floral hops notes emerge more as it warms. Low carbonation and body, but both are appropriate to style. The finish is biscuit malt mixed with apple and pear esters balanced with light earthy hops, low bitterness, and smooth finish.",Chapman Dispense as Written,/review/dispense-as-written
"The malt has some nice toffee and dark cherry character, but it’s a bit overwhelmed by the roast astringency that overpowers things a bit. Some caramelized sweetness dances around to help mellow it overall. The finish is dry, with lingering coffee and grassy hop bitterness.",Wibby Moondoor Dunkel,/review/moondoor-dunkel
The vanilla really comes through in the flavor with a lot of rich malt and chocolate. There’s a nuttiness as well and a slight moderate sweetness up front that builds into a moderately strong sweetness before fading. The whole combination reminds one of Little Debbie Nutty Bars. The finish has a moderate bitterness and a low alcohol warmth.,Wibby Double Dunkel,/review/double-dunkel
"Deep, deep dark chocolate malt, very clean fermentation. Light floral hops provide low supporting bitterness. Finishes a bit sweet with roast for days.",Jack's Abby Framinghammer,/review/framinghammer
"A pronounced sweetness that slowly fades and is balanced by fairly strong alcohol. Bourbon-barrel oak, toffee, bready malt, stewed plums, big dose of hot alcohol, very drying. Alcohol spiciness is probably enhanced with noble hops. Finishes like a boozy Belgian dark strong or a candy bar.",Heavy Seas Schnee Boot,/review/schnee-boot
"Rich and complex malt—coffee, toffee, figs, dried fruit. Finish has hints of grassy hops, a slight dark-malt tartness, with lingering toffee, chocolate, and a bit of alcoholic heat. Balance is slightly sweet, but not cloying, which accentuates the soft, creamy finish. Some nice chocolate notes in aftertaste.",Dust Bowl Brewing Public Enemy,/review/public-enemy
"Moderately strong milk chocolate in the flavor with toast and rich malt behind it. A moderate sweetness slowly fades and is a touch cloying in the finish. Bitterness is very low. Other than the lingering sweetness, the finish is clean with a light lasting dark malt flavor.",Deschutes/Bell's Schwarzbier,/review/Deschutesschwarzbier
"Bread, crackers, and crust come through in the flavor with more herbal, grassy, and a bit piney hops character. Well-balanced with moderate carbonation, a slightly dry and bitter finish, but not astringent. The esters are now more pear-like.”",Boulder Beer Buffalo Gold,/review/buffalo-gold
"Moderately strong chocolate in the flavor. Sweet caramel, toffee, roast, slight smoke, dried fruits (raisin, prune). Sweet floral hops. Clean lager characteristics. Distinct alcoholic warmth that is not harsh or boozy but definitely noticeable. Well-balanced. Slightly sweet smooth finish that is on the drier side of sweet. Wonderful malt complexity!",Wasatch Brewery Devastator,/review/devastator
"Just like on the aroma, hops flavors dominate and are punched up by the light malt sweetness. Bitterness is surprisingly restrained for the intense hops flavors. Still, there’s a sweet malt backbone.",Prison City Seward's Folly,/review/sewards-folly
Hops come through more in the flavor with the herbal and lemon becoming more of a lemongrass character. Malt is still in the background but akin to sweet biscuit. There’s a soapy finish that’s also dry and slightly bitter but not astringent. A light mineral character may be accentuated by the moderate carbonation level.”,Perrin Brewing Gold,/review/brewing-gold
"Still malt-focused in the flavor with more grainy, herbal, and grassy character. Moderately low sweetness into a finish that’s dry with moderately low bitterness and very low acidity. Very clean.",Left Hand Travelin' Light Kölsch,/review/travelin-light-koelsch
"Toasty, bready crust, and nutty come through in the flavor as well. There’s also a hint of caramel. Moderate sweetness carries through into the finish with low bitterness. Grassy, grainy malt, bread crust, coffee, medium-full body with semisweet finish. Slight noble, floral, spicy hops. Well-balanced. Crisp finish with a slight lingering sweetness but not cloying.",Kansas City Bier Dunkel,/review/dunkel
More smoke with underlying toasty malt. Nice malt flavors. Some toasty chocolate notes. A touch of sweetness in the start that is well- balanced out in the finish.,Jack's Abby Smoke & Dagger,/review/smoke-and-dagger
"Toasty rich malt (like toasted bread or graham cracker), but not overly sweet or thick on the palate. Nice clean, crisp, drying finish, almost husky, with some hops bitterness to balance as well.",Jack's Abby Red Tape,/review/red-tape
"Prominent creamy cocoa. Tastes like a Tootsie Roll—mild chocolate, toffee, with an underlying toffee sweetness. Finish isn’t overwhelmingly sweet because there’s enough hops bitterness to balance and keep it from being cloying. Some nice warmth to the finish as well. Will make you think of a chocolate milk shake.”",Samuel Adams Chocolate Bock,/review/chocolate-bock
Rich and malt-forward in the flavor as well. Sweet. Clean lager fermentation characteristics. Noticeable alcoholic warmth that accentuates some dryness in the finish.”,Kansas City Bier Co. Winterbock,/review/winterbock
"Clean. Roast chocolate and coffee. Light green pepper. Mild supporting hops balance the malt and coffee. Nice coffee flavors, medium sweet.",Hardywood Baltic Sunrise,/review/baltic-sunrise
"The flavor is still barrel-forward, but the malt helps balance it a bit more. Aged chocolate-covered cherries soaked in bourbon, raisins, warming spicy alcohol. Alcohol lingers pleasantly into the finish.",Grand Teton Double Vision 2015,/review/double-vision-2015
"Apricot-dominant. Distinct apricot flavors that incorporate aspects of both flesh and skin. Slight floral and perfumy hops flavors help cut through some of the fruit sweetness, without lowering the overall impact of the fruit. Fruit notes are slightly acidic and crisp. More ‘beer’ character emerges in the flavor, so it’s not all fruit. Pretty well-balanced. Slightly tart finish.",Dry Dock Apricot Blonde,/review/apricot-blonde
"A medium amount of malt sweetness is well-balanced with an appropriate level of hops character. The sweetness enhances some of the citrus notes, giving it a slight mandarin-orange character with melon. Moderate carbonation, which helps to accentuate the dryness.",Cigar City Golden Ale,/review/golden-ale
"Simple base malt backbone. Floral, soapy, and slightly citrus-hops flavors. Slightly peppery and spicy. Moderate carbonation enhances a crisp effervescence and pronounced bitterness with a slightly sweet finish. It hits most of the notes in safe and expected ways, but there’s just a hint of clash between the resinous woodier elements of the hops and the ester component.",Brasserie St. James The Koln Concert,/review/the-koln-concert
"Light bready malt and a touch of banana esters continue onto the palate. There’s a moderately low sweetness that transitions into moderately low bitterness. The finish is dry, reminiscent of a fruit cocktail and very clean with a lingering bitterness.",Boulevard Beer American Kolsch,/review/american-kolsch
"Starts with a touch of malt sweetness and light yeast esters and then just drops into an intense hops bomb with a lingering bitterness. Woody, herbal, and like an orange slice in a cup of tea. The malt tries to balance out with a bit of sweetness, but eventually loses out to the sticky bitterness.”",Surly First Avenue +1,/review/first-avenue-1
"Still clove-forward on the front, but the hops come through more on the palate with lemon, grassy, and grapefruit character. Low sweetness and low bitterness. This is almost like a spiced holiday wine. Moderate carbonation accentuates a crisp finish. A bit fuller in body than a ‘traditional’ blonde.",Perennial Southside Blonde,/review/southside-blonde
"Sweet melanoidin malt character up front, middle roast notes. Decent amount of body to support the flavors. Slight floral and soapy noble-hops flavors. Sweet dark bready malt, toffee, and coffee.",New Belgium Brewing 1554,/review/1554
"There’s a nice underlying chocolate malt with a rich a complex spice character from the chai. Great finish—the roast chocolate flavors pair nicely with the spice additions, and while it’s a bit dry and puckering, it doesn’t cross into harsh and astringent territory.",WeldWerks Chai Baltic Porter,/review/chai-baltic-porter
"Earthy hops notes carry the front, with some light chicken stock and woodsy notes. A touch of carbonation to heighten the beer’s flavors. Malt character is very subtle with just a touch of cracker and biscuit. Dry but crisp finish with a slight lingering mouth-coating bitterness.",Squatters Chasing Tail Orange Golden Ale,/review/chasing-tail-orange-golden-ale
"There’s a lot of hops complexity. Bold citrus with a lemongrass focus. Malt flavors get lost in the shuffle. Light, clean body. Bitter and dry finish with a lingering hops-derived bitterness.",Lawson's Finest Liquids Above the Clouds,/review/above-the-clouds
"Roasted malt, caramel, coffee, slight chocolate. Slight floral/spicy hops. Clean lager fermentation. Noticeable, but not harsh, alcoholic warmth. Slightly sweet (but not cloying) finish that is dried out a bit by the alcohol. Some strong earthy mushroom notes add an umami richness to it.",Epic Brewing Double Skull,/review/double-skull
"More raspberry. Slight moderate sweetness into slight acidity and very low bitterness. Well-balanced with a nice interplay of malt, fruit, and clean hops. Finish is pleasantly dry and crisp with a smack of tart. The quality of the raspberry flavor is fantastic—natural, deep, and nuanced.",Denver Beer Princess Yum Yum Raspberry Kolsch,/review/princess-yum-yum-raspberry-kolsch
Sweet caramel malt with some biscuit. A light hops spice character in the melon and berry family emerges before it finishes a bit sweet and quite dry (almost wine-like) with some esters of stone fruit—plum and cherry. Very restrained bitterness.,Deep Ellum Dallas Blonde,/review/dallas-blonde
Well-balanced with some upfront malt sweetness with a well-placed amount of bitterness to keep things in check. A touch of fruity yeast and hops-flavor complexity adds to some depth. Nice crisp finish with a perfect amount of carbonation. Quite palate cleansing.”,Call to Arms Tennyson Standard,/review/tennyson-standard
"Roasted malt with a focus on dark chocolate, coffee, and caramel. Floral hops are slightly more pronounced than one would expect. A slight huskiness that approaches tannic or astringent. Finishes quite dry and slightly bitter with bits of caramel lingering into the aftertaste. It lacks the refinement of some others in the style, but that extra personality is endearing at times.”",Dust Bowl Brewing Steinbock,/review/steinbock
"Very rich toast, chocolate, and coffee. Moderately sweet. The hops just balance the sweetness. Slight green-pepper back note. Finishes a touch on the sweet side. Malt holds on awhile. Coffee bitterness comes through on the finish, but given the lingering sweetness, it balances well.",Crooked Stave Coffee Baltic Porter,/review/crookedstavecoffee-baltic-porter
More toasty popcorn kernel and chocolate malt in the flavor with much less smoke. Moderate sweetness into moderate bitterness in the flavor. Clean lager profile. Finish is slightly bitter with a hint of smoke or peat that lingers. Good balance on the sweetness.,Uinta Brewing Baba Black Lager,/review/baba-black-lager
"Very light berry note with neutral malt character. Sweet malt backbone. Sweet citrus (orange, lemon) and floral hops that lead into sweet yet tart berry-like flavors (strawberry, sweet raspberry, blackberry). Finishes clean and slightly sweet.",Oskar Blues Guns 'N' Rose,/review/guns-n-rose
"Husky malt character that evolves into a mild biscuity sweetness. Some mild hops notes, but a distinct minerality that’s a bit distracting. Light carbonation with a smooth and creamy mouthfeel. Slightly bitter on the finish and lacking crispness.",MadTree Lift,/review/lift
"Hops-forward with mostly lemon and rose. There’s more tea-like hops in the flavor as well. Mouth-coating, dank hoppy finish that is both bitter and slightly astringent. Floral, slightly fruity.",Lawson's Finest Liquids Knockout Blonde,/review/knockout-blonde
Moderate-low dark-fruit flavors of prune and raisin. Moderate roasted malt. Alcoholic warmth that is not harsh or ‘boozy’ but quite noticeable. Low spicy esters. Clean fermentation. Slightly sweet finish with low carbonation.,Chapman I Feel Pretty Doppelbock,/review/i-feel-pretty-doppelbock
"Roasted malt, caramel, biscuit, bread. Clean noble-hops flavors. Slightly complex malty sweet balances the hops. Clean and palate-cleansing. The light hand with bittering hops is good because the roast malt provides complementary bitterness. Light caramel in the aftertaste.",Burial Beer Hellstar,/review/hellstar
"Simultaneously sweet and bitter all the way through, notes of flowers and candied apples, herbal hops, and a mineral characteristic. Clean fermentation highlights dry malt and crisp hops bitterness. Finishes very dry.”",5:00 O'Clock Afternoon Ale Renegade Brewing,/review/renegade-brewing
"Tangerine dominates up front, but it’s not overpowering, and well-balanced with the malt and bitterness. The tea character emerges at the end and lingers, giving a pleasant aftertaste of afternoon tea with biscuits and jam. Relatively thin in body, so it drinks a bit like a lightly sweetened ice tea. Finishes dry mostly from the citric acid.",Suncrush Beer Tangerine Suncrush,/review/tangerine-suncrush
"Very roast-forward espresso and sweet dark chocolate. Bitterness is firm and a touch harsh. Borderline black IPA territory. Chocolate flavor is medium strong, lingering into the aftertaste.",Cape May Brewing King Porter Stomp,/review/king-porter-stomp
"More citrus in the flavor up front with lemongrass and herbal hops. The malt is fairly light, and there’s background chocolate and rich malt. Moderate sweetness up front into high bitterness in the finish that’s quite astringent. There’s a low alcohol warmth in the finish as well.",Lagunitas Brewing Night Pils,/review/night-pils
